title,console,genre,publisher,developer,critic_score,total_sales,na_sales,pal_sales,other_sales,release_date,year
Battlefield 1,PC,Shooter,Electronic Arts,EA DICE,9.1,0.77,0.3,0.41,0.06,2016-10-21,2016.0
Ghost Squad,Wii,Shooter,Sega,Polygon Magic,7.0,0.77,0.42,0.21,0.07,2007-11-20,2007.0
Star Wars Battlefront: Elite Squadron,PSP,Shooter,LucasArts,Savage Entertainment,6.0,0.77,0.38,0.24,0.16,2009-11-03,2009.0
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,X360,Racing,Sega,Sumo Digital,7.7,0.77,0.37,0.32,0.07,2010-02-23,2010.0
UFC Personal Trainer: The Ultimate Fitness System,X360,Sports,THQ,THQ,6.0,0.77,0.53,0.18,0.06,2011-06-28,2011.0
Dragon Ball: Raging Blast,PS3,Fighting,Namco Bandai,Spike,5.6,0.77,0.37,0.19,0.1,2009-11-10,2009.0
Pokémon Dash,DS,Racing,Nintendo,Ambrella,5.3,0.77,0.21,0.14,0.04,2005-03-14,2005.0
Conker's Bad Fur Day,N64,Platform,Rare,Rare Ltd.,9.2,0.77,0.53,0.22,0.02,2001-03-04,2001.0
Maximo: Ghosts to Glory,PS2,Platform,Capcom,Capcom,8.7,0.77,0.38,0.29,0.1,2002-02-11,2002.0
Donkey Kong Country 3,GBA,Platform,Nintendo,Rare Ltd.,7.5,0.77,0.45,0.17,0.01,2005-11-07,2005.0
James Cameron's Avatar: The Game,X360,Action,Ubisoft,Ubisoft Montreal,6.0,0.77,0.34,0.35,0.08,2009-12-01,2009.0
Lips,X360,Misc,Microsoft Game Studios,iNiS,7.1,0.77,0.12,0.56,0.1,2008-11-18,2008.0
Twisted Metal: Head On,PSP,Action,Sony Computer Entertainment,Incognito Inc.,7.5,0.77,0.71,0.0,0.06,2005-03-24,2005.0
Andretti Racing,PS,Racing,EA Sports,Stormfront Studios,7.3,0.77,0.43,0.29,0.05,1996-11-30,1996.0
Need for Speed: Undercover,PSP,Racing,Electronic Arts,Piranha Games,5.4,0.77,0.23,0.32,0.19,2008-11-17,2008.0
The Sims 3,3DS,Simulation,Electronic Arts,The Sims Studio,5.6,0.77,0.3,0.38,0.07,2011-03-27,2011.0
Lost Planet 2,X360,Shooter,Capcom,Capcom,6.5,0.76,0.38,0.24,0.06,2010-05-11,2010.0
Just Dance 2018,NS,Music,Ubisoft,Ubisoft Paris,8.0,0.76,0.3,0.4,0.06,2017-10-24,2017.0
Kane & Lynch: Dead Men,X360,Shooter,Eidos Interactive,IO Interactive,6.8,0.76,0.36,0.31,0.08,2007-11-13,2007.0
Mortal Kombat: Deception,XB,Fighting,Midway Games,Midway Games,7.4,0.76,0.61,0.12,0.03,2004-10-04,2004.0
Marvel vs. Capcom 2,PS2,Fighting,Capcom,Capcom,8.2,0.76,0.31,0.24,0.08,2002-11-19,2002.0
Sonic Unleashed,PS2,Platform,Sega,Sonic Team/Dimps Corporation,7.0,0.76,0.37,0.04,0.36,2008-11-18,2008.0
Banjo-Kazooie: Nuts & Bolts,X360,Platform,Microsoft Game Studios,Rare Ltd.,8.0,0.76,0.32,0.35,0.08,2008-11-12,2008.0
Tony Hawk's Pro Skater 2,N64,Sports,Activision,Edge of Reality,8.5,0.76,0.59,0.16,0.01,2001-08-21,2001.0
Band Hero,PS3,Misc,Activision,Neversoft Entertainment,7.6,0.76,0.41,0.23,0.12,2009-11-03,2009.0
Resident Evil: Revelations,PS3,Action,Capcom,Capcom,7.6,0.76,0.14,0.32,0.09,2013-05-21,2013.0
Final Fantasy Legend III,GB,Role-Playing,Square,SquareSoft,7.0,0.76,0.0,0.0,0.0,1993-09-29,1993.0
Harry Potter and the Half-Blood Prince,Wii,Action,Electronic Arts,Bright Light Productions,6.0,0.76,0.28,0.4,0.08,2009-06-30,2009.0
Toy Story 3: The Video Game,X360,Action,Disney Interactive Studios,Avalanche Software,7.5,0.76,0.41,0.27,0.07,2010-06-15,2010.0
Duke Nukem Forever,PS3,Shooter,2K Games,Gearbox Software,4.4,0.76,0.33,0.31,0.11,2011-06-14,2011.0
PokéPark 2: Wonders Beyond,Wii,Action-Adventure,Nintendo,Creatures Inc.,6.5,0.76,0.26,0.19,0.04,2012-02-27,2012.0
Rockstar Games presents Table Tennis,X360,Sports,Rockstar Games,Rockstar San Diego,8.1,0.75,0.28,0.38,0.08,2006-05-22,2006.0
LEGO City Undercover,PS4,Platform,Warner Bros. Interactive Entertainment,TT Fusion,8.0,0.75,0.17,0.46,0.12,2017-04-04,2017.0
