title,console,genre,publisher,developer,critic_score,total_sales,na_sales,pal_sales,other_sales,release_date,year
Sonic Rivals 2,PSP,Racing,Sega,Backbone Entertainment,6.4,1.52,0.44,0.7,0.37,2007-11-13,2007.0
Forza Motorsport 7,XOne,Racing,Microsoft Studios,Turn 10 Studios,8.9,1.52,0.58,0.81,0.12,2017-10-03,2017.0
Dead Space 2,X360,Shooter,Electronic Arts,Visceral Games,9.1,1.52,0.94,0.44,0.13,2011-01-25,2011.0
Call of Duty 3,PS3,Shooter,Activision,Treyarch,7.7,1.51,0.6,0.63,0.26,2006-11-15,2006.0
Call of Duty: Modern Warfare: Reflex Edition,Wii,Shooter,Activision,Treyarch,7.2,1.51,0.94,0.43,0.14,2009-11-10,2009.0
Star Wars: The Force Unleashed II,PS3,Action,LucasArts,LucasArts,6.3,1.51,0.8,0.5,0.21,2010-10-26,2010.0
Rock Band 2,PS3,Misc,MTV Games,Harmonix Music Systems,8.9,1.5,1.13,0.2,0.16,2008-10-19,2008.0
Football Manager 2012,PC,Sports,Sega,Sega,8.5,1.5,0.02,1.16,0.32,2011-10-21,2011.0
WWF No Mercy,N64,Fighting,THQ,Aki Corp.,9.1,1.5,1.2,0.27,0.02,2000-11-17,2000.0
SoulCalibur II,GC,Fighting,Namco,Namco,9.2,1.5,0.99,0.32,0.08,2003-08-27,2003.0
Red Faction II,PS2,Shooter,THQ,Volition Inc.,8.6,1.5,0.49,0.78,0.23,2002-10-15,2002.0
NFL Blitz,PS,Sports,Midway Games,Midway Games,9.1,1.5,1.41,0.05,0.04,1998-09-12,1998.0
Metal Gear Rising: Revengeance,PS3,Action,Konami Digital Entertainment,PlatinumGames,9.0,1.5,0.47,0.41,0.18,2013-02-19,2013.0
Dead Rising 2,X360,Action,Capcom,Blue Castle Games,8.2,1.49,0.75,0.53,0.13,2010-09-28,2010.0
Mafia II,PS3,Action,2K Games,Illusion Softworks,7.0,1.49,0.5,0.7,0.25,2010-08-24,2010.0
LEGO Battles: Ninjago,DS,Strategy,Warner Bros. Interactive,Hellbent Games,5.0,1.48,1.03,0.33,0.12,2011-04-12,2011.0
LEGO Star Wars III: The Clone Wars,X360,Action,LucasArts,Traveller's Tales,7.9,1.48,0.84,0.51,0.13,2011-03-22,2011.0
Disney Sing It: Pop Hits,Wii,Misc,Disney Interactive Studios,Zoe Mode,6.8,1.48,1.07,0.28,0.12,2009-10-06,2009.0
007: Quantum of Solace,X360,Shooter,Activision,Treyarch,6.6,1.48,0.82,0.51,0.14,2008-11-04,2008.0
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,Action,Ubisoft,Ubisoft Shanghai,9.2,1.48,0.82,0.59,0.07,2004-03-23,2004.0
Sonic's Ultimate Genesis Collection,X360,Misc,Sega,Backbone Entertainment,8.1,1.48,0.9,0.44,0.14,2009-02-10,2009.0
Fight Night Round 3,X360,Fighting,EA Sports,EA Chicago,8.6,1.47,1.33,0.03,0.1,2006-02-20,2006.0
Minecraft,WiiU,Misc,Mojang,4J Studios,5.5,1.47,0.5,0.49,0.09,2016-06-17,2016.0
Super Scribblenauts,DS,Puzzle,Warner Bros. Interactive,5TH Cell,7.9,1.47,1.06,0.3,0.11,2010-10-12,2010.0
Battlefield: Bad Company,X360,Shooter,Electronic Arts,EA Digital Illusions CE,8.6,1.46,0.81,0.46,0.15,2008-06-23,2008.0
Mass Effect 3,PS3,Role-Playing,Electronic Arts,BioWare,8.9,1.46,0.65,0.58,0.2,2012-03-06,2012.0
Mass Effect 2,PS3,Role-Playing,Electronic Arts,BioWare Edmonton,9.3,1.46,0.78,0.46,0.18,2011-01-18,2011.0
Homefront,X360,Shooter,THQ,Kaos Studios,6.7,1.46,0.83,0.48,0.12,2011-03-15,2011.0
Super Monkey Ball,GC,Puzzle,Sega,Amusement Vision,9.0,1.46,0.95,0.37,0.04,2001-11-17,2001.0
The House of the Dead 2 & 3 Return,Wii,Shooter,Sega,Sega,6.5,1.45,0.77,0.5,0.15,2008-03-11,2008.0
Sonic & SEGA All-Stars Racing,Wii,Racing,Sega,Sumo Digital,7.9,1.45,0.61,0.69,0.15,2010-02-23,2010.0
Sega Genesis Collection,PSP,Misc,Sega,Sega,8.3,1.45,0.53,0.58,0.34,2006-11-16,2006.0
Sonic Rivals,PSP,Racing,Sega,Backbone Entertainment,7.0,1.44,0.73,0.43,0.28,2006-11-16,2006.0
Star Wars: The Force Unleashed II,X360,Action,LucasArts,LucasArts,6.3,1.44,0.95,0.37,0.12,2010-10-26,2010.0
BioShock,PS3,Shooter,2K Games,2K Boston / 2K Australia / 2K Marin,9.3,1.44,0.75,0.48,0.21,2008-10-21,2008.0
Kinect Joy Ride,X360,Racing,Microsoft Game Studios,Big Park,5.6,1.43,0.92,0.39,0.12,2010-11-04,2010.0
Dead Space 2,PS3,Shooter,Electronic Arts,Visceral Games,9.0,1.43,0.73,0.49,0.21,2011-01-25,2011.0
WWE SmackDown vs Raw 2008,X360,Fighting,THQ,Yuke's Media Creations,7.3,1.43,0.92,0.38,0.13,2007-11-13,2007.0
Smarty Pants,Wii,Misc,Electronic Arts,EA Los Angeles,6.5,1.43,0.52,0.75,0.16,2007-11-13,2007.0
UFC Undisputed 2010,PS3,Fighting,THQ,Yuke's Future Media Creators,8.4,1.42,0.8,0.4,0.19,2010-05-25,2010.0
Rayman Raving Rabbids,Wii,Misc,Ubisoft,Ubisoft Montpellier,7.5,1.42,1.22,0.07,0.11,2006-11-14,2006.0
LEGO Star Wars II: The Original Trilogy,PSP,Action,LucasArts,Traveller's Tales,8.4,1.41,0.58,0.51,0.32,2006-09-12,2006.0
LEGO Indiana Jones 2: The Adventure Continues,Wii,Adventure,LucasArts,Traveller's Tales,7.5,1.41,0.9,0.38,0.13,2009-11-17,2009.0
LEGO Star Wars: The Video Game,GC,Action,Eidos Interactive,Traveller's Tales,7.9,1.41,1.09,0.28,0.04,2005-10-25,2005.0
Twisted Metal: Black,PS2,Racing,Sony Computer Entertainment,Incognito Inc.,8.9,1.41,1.19,0.17,0.05,2001-06-18,2001.0
2Xtreme,PS,Sports,Sony Computer Entertainment,SCEA,8.3,1.4,1.15,0.2,0.05,1996-10-31,1996.0
Spider-Man: The Movie,XB,Action,Activision,Treyarch,7.7,1.4,1.07,0.28,0.05,2002-04-15,2002.0
Anno 2070,PC,Strategy,Ubisoft,Blue Byte Studio,8.7,1.4,0.0,1.14,0.26,2011-11-17,2011.0
Fight Night Round 4,X360,Fighting,EA Sports,EA Canada,8.7,1.4,0.95,0.33,0.13,2009-06-23,2009.0
Dead Space,X360,Shooter,Electronic Arts,EA Redwood Shores,8.9,1.4,0.89,0.39,0.13,2008-10-13,2008.0
Sonic Generations,X360,Platform,Sega,Sonic Team,7.7,1.39,0.71,0.54,0.13,2011-11-01,2011.0
Bakugan: Battle Brawlers,DS,Action,Activision,MTO,6.4,1.38,1.26,0.02,0.1,2009-10-20,2009.0
Rocket League,XOne,Sports,505 Games,Psyonix Studios,8.0,1.38,0.52,0.75,0.11,2016-07-05,2016.0
The Sims 2,PSP,Simulation,Electronic Arts,Maxis,6.2,1.38,0.49,0.56,0.33,2005-12-07,2005.0
Deus Ex: Human Revolution,X360,Shooter,Square Enix,Eidos Montreal,8.8,1.38,0.77,0.47,0.12,2011-08-23,2011.0
Far Cry 2,PS3,Shooter,Ubisoft,Ubisoft Montreal,8.4,1.38,0.43,0.69,0.26,2008-10-21,2008.0
Deus Ex: Human Revolution,PS3,Shooter,Square Enix,Eidos Montreal,8.8,1.38,0.5,0.6,0.22,2011-08-23,2011.0
Dead Rising 2,PS3,Action,Capcom,Blue Castle Games,8.1,1.37,0.43,0.57,0.22,2010-09-28,2010.0
LEGO Harry Potter: Years 1-4,PS3,Adventure,Warner Bros. Interactive,Traveller's Tales,7.9,1.37,0.55,0.61,0.21,2010-06-29,2010.0
Call of Duty: Black Ops,Wii,Shooter,Activision,Treyarch,7.5,1.37,0.8,0.46,0.12,2010-11-09,2010.0
Crysis 2,X360,Shooter,Electronic Arts,Crytek,8.7,1.37,0.73,0.5,0.13,2011-03-22,2011.0
Need for Speed: The Run,X360,Racing,Electronic Arts,EA Black Box,5.5,1.37,0.63,0.57,0.16,2011-11-15,2011.0
A Collection of Activision Classic Games for the Atari 2600,PS,Misc,Activision,"Livesay Technologies, Inc.",3.8,1.37,0.76,0.52,0.09,1998-09-23,1998.0
Metroid: Other M,Wii,Action,Nintendo,Nintendo SPD Production Group 1/Team Ninja,7.7,1.36,0.85,0.28,0.1,2010-08-31,2010.0
Crash Bandicoot 2: N-Tranced,GBA,Platform,Vivendi Games,Vicarious Visions,7.5,1.36,0.63,0.66,0.07,2003-01-07,2003.0
GoldenEye 007,Wii,Shooter,Activision,Eurocom Entertainment Software,8.0,1.36,0.76,0.6,0.0,2010-11-02,2010.0
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,Fighting,Capcom,Capcom,8.2,1.36,0.81,0.28,0.15,2011-02-15,2011.0
Wolfenstein II: The New Colossus,PS4,Shooter,Bethesda Softworks,MachineGames,9.0,1.36,0.55,0.58,0.22,2017-10-27,2017.0
Hasbro Family Game Night 2,Wii,Misc,Electronic Arts,EA Bright Light,6.4,1.36,0.7,0.52,0.13,2009-10-27,2009.0
Gardening Mama,DS,Puzzle,Majesco,Taito Corporation,6.6,1.36,0.79,0.42,0.13,2009-03-31,2009.0
FIFA Soccer 08,PSP,Sports,EA Sports,EA Canada,7.9,1.35,0.2,0.76,0.39,2007-10-08,2007.0
FIFA Soccer 09,PSP,Sports,EA Sports,EA Canada,8.1,1.35,0.23,0.73,0.37,2008-10-14,2008.0
Burnout Paradise,X360,Racing,Electronic Arts,Criterion,8.9,1.35,0.63,0.57,0.14,2008-01-22,2008.0
Battlefield: Bad Company,PS3,Shooter,Electronic Arts,EA Digital Illusions CE,8.6,1.34,0.76,0.36,0.17,2008-06-23,2008.0
F1 2010,PS3,Racing,Codemasters,Codemasters Birmingham,8.4,1.34,0.25,0.75,0.26,2010-09-21,2010.0
Max Payne 2: The Fall of Max Payne,PS2,Shooter,Rockstar Games,Remedy Entertainment,6.8,1.34,0.65,0.51,0.17,2003-12-02,2003.0
Donkey Kong Jungle Beat,GC,Platform,Nintendo,Nintendo EAD Tokyo,7.9,1.34,0.84,0.22,0.04,2005-03-14,2005.0
The ICO & Shadow of the Colossus Collection,PS3,Adventure,Sony Computer Entertainment,Bluepoint Games,9.0,1.34,0.67,0.36,0.18,2011-09-27,2011.0
Need for Speed Carbon,PS2,Racing,Electronic Arts,EA Black Box,7.7,1.34,1.22,0.05,0.01,2006-10-31,2006.0
Command & Conquer: Red Alert 2,PC,Strategy,Electronic Arts,Westwood Studios,8.9,1.34,1.32,0.02,0.0,2000-10-21,2000.0
Tom Clancy's Rainbow Six: Vegas 2,PS3,Shooter,Ubisoft,Ubisoft Montreal,8.2,1.34,0.66,0.45,0.2,2008-03-19,2008.0
Devil May Cry 4,X360,Action,Capcom,Capcom,8.5,1.34,0.79,0.34,0.13,2008-02-05,2008.0
WWE SmackDown vs Raw 2008,PS3,Fighting,THQ,Yuke's Media Creations,7.3,1.33,0.62,0.5,0.2,2007-11-13,2007.0
Alan Wake,X360,Action,Microsoft Game Studios,Remedy Entertainment,8.3,1.33,0.66,0.5,0.12,2010-05-18,2010.0
Crysis 2,PS3,Shooter,Electronic Arts,Crytek,8.8,1.33,0.48,0.57,0.22,2011-03-22,2011.0
Grand Theft Auto: Chinatown Wars,DS,Adventure,Rockstar Games,Rockstar Leeds/North,9.5,1.33,0.58,0.56,0.14,2009-03-17,2009.0
Spider-Man: The Movie,GBA,Platform,Activision,Digital Eclipse,7.9,1.33,0.92,0.35,0.05,2002-04-16,2002.0
Tony Hawk's Pro Skater,GB,Sports,Activision,Natsume,7.1,1.33,0.9,0.38,0.05,2000-02-29,2000.0
Fallout 76,PS4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,5.1,1.32,0.52,0.49,0.2,2018-11-14,2018.0
Rage,PS3,Shooter,Bethesda Softworks,id Software,7.9,1.32,0.47,0.59,0.2,2011-10-04,2011.0
MAG: Massive Action Game,PS3,Shooter,Sony Computer Entertainment,Zipper Interactive,7.4,1.32,0.77,0.3,0.16,2010-01-26,2010.0
UFC Undisputed 2010,X360,Fighting,THQ,Yuke's Future Media Creators,8.6,1.32,0.9,0.31,0.11,2010-05-25,2010.0
Need for Speed Underground Rivals,PSP,Racing,Electronic Arts,Team Fusion,7.6,1.32,0.69,0.38,0.24,2005-03-14,2005.0
Madagascar,PS2,Platform,Activision,Toys for Bob,6.4,1.31,0.78,0.45,0.07,2005-05-23,2005.0
The Beatles: Rock Band,X360,Misc,MTV Games,Harmonix Music Systems,8.9,1.31,0.97,0.23,0.11,2009-09-09,2009.0
[Prototype],X360,Action,Activision,Radical Entertainment,7.9,1.31,0.84,0.35,0.12,2009-06-09,2009.0
LEGO Batman: The Videogame,PS3,Adventure,Warner Bros. Interactive,Traveller's Tales,7.2,1.31,0.72,0.39,0.19,2008-09-23,2008.0
Burnout 3: Takedown,XB,Racing,Electronic Arts,Criterion Games,9.3,1.31,0.84,0.43,0.04,2004-09-07,2004.0
LEGO Batman: The Videogame,PSP,Adventure,Warner Bros. Interactive,Traveller's Tales,7.9,1.3,0.57,0.46,0.27,2008-09-23,2008.0
NBA Live 07,PS2,Sports,EA Sports,EA Canada,6.3,1.3,1.07,0.04,0.17,2006-09-25,2006.0
Transformers,PS2,Shooter,Atari,Melbourne House,7.8,1.29,0.63,0.49,0.16,2004-05-11,2004.0
The Last Guardian,PS4,Action-Adventure,Sony Interactive Entertainment,SIE Japan Studio,7.9,1.29,0.4,0.58,0.19,2016-12-06,2016.0
Champions of Norrath,PS2,Role-Playing,Sony Online Entertainment,Snowblind Studios,8.5,1.28,0.63,0.49,0.16,2004-02-10,2004.0
Manhunt,PS2,Action,Rockstar Games,Rockstar North,8.0,1.28,0.63,0.49,0.16,2003-11-18,2003.0
Twisted Metal 4,PS,Racing,989 Studios,989 Studios,6.7,1.28,1.07,0.16,0.04,1999-10-31,1999.0
Need for Speed Carbon,Wii,Racing,Electronic Arts,EA Black Box,6.4,1.28,0.45,0.66,0.15,2006-11-19,2006.0
.hack//Infection Part 1,PS2,Role-Playing,Bandai,CyberConnect2,7.7,1.27,0.49,0.38,0.13,2003-02-11,2003.0
LEGO Batman: The Videogame,PS2,Adventure,Warner Bros. Interactive,Traveller's Tales,7.6,1.27,0.72,0.03,0.52,2008-09-23,2008.0
NBA 2K9,X360,Sports,2K Sports,Visual Concepts,8.3,1.27,1.0,0.16,0.11,2008-10-07,2008.0
EA Sports Active 2,Wii,Sports,Electronic Arts,EA Vancouver,8.0,1.27,0.76,0.4,0.11,2010-11-16,2010.0
WWE '12,X360,Fighting,THQ,"Yuke's Co., Ltd.",7.5,1.27,0.74,0.4,0.12,2011-11-22,2011.0
Castlevania: Symphony of the Night,PS,Platform,Konami,Konami Computer Entertainment Tokyo,9.3,1.27,0.58,0.4,0.08,1997-10-02,1997.0
The Sims 2: Nightlife,PC,Simulation,Electronic Arts,Maxis,7.5,1.27,1.22,0.05,0.0,2005-09-13,2005.0
SOCOM: U.S. Navy SEALs Confrontation,PS3,Shooter,Sony Computer Entertainment,Slant Six Games,6.3,1.26,0.94,0.17,0.14,2008-10-14,2008.0
Rockstar Games presents Table Tennis,Wii,Sports,Rockstar Games,Rockstar San Diego,6.8,1.26,0.39,0.73,0.15,2007-10-15,2007.0
Assassin's Creed: Bloodlines,PSP,Action,Ubisoft,Griptonite Studio,6.3,1.26,0.43,0.5,0.28,2009-11-17,2009.0
Football Manager 2011,PC,Sports,Sega,Sports Interactive,8.9,1.26,0.0,1.01,0.24,2010-11-09,2010.0
Tomb Raider: Underworld,PS3,Adventure,Eidos Interactive,Crystal Dynamics,7.8,1.26,0.45,0.55,0.21,2008-11-18,2008.0
RollerCoaster Tycoon 2,PC,Strategy,Atari,Chris Sawyer,7.3,1.25,1.19,0.06,0.0,2002-10-15,2002.0
Cars 2,DS,Racing,Disney Interactive Studios,Avalanche Software,6.5,1.25,0.68,0.41,0.12,2011-06-21,2011.0
Black,PS2,Shooter,Electronic Arts,Criterion Games,7.7,1.25,1.01,0.04,0.16,2006-02-28,2006.0
Need for Speed: Most Wanted,X360,Racing,Electronic Arts,Electronic Arts,8.4,1.25,1.0,0.13,0.1,2005-11-16,2005.0
Ratatouille,DS,Platform,THQ,Helixe,7.0,1.25,0.49,0.62,0.14,2007-06-26,2007.0
Need for Speed Carbon,PS3,Racing,Electronic Arts,EA Black Box,7.8,1.24,0.49,0.51,0.2,2006-11-17,2006.0
Oddworld: Abe's Oddysee,PS,Platform,GT Interactive,Oddworld Inhabitants,8.3,1.24,0.75,0.44,0.06,1997-08-31,1997.0
[Prototype],PS3,Action,Activision,Radical Entertainment,8.1,1.24,0.65,0.41,0.18,2009-06-09,2009.0
2010 FIFA World Cup South Africa,PS3,Sports,EA Sports,EA Canada,8.2,1.23,0.3,0.64,0.22,2010-04-27,2010.0
Frogger: The Great Quest,PS2,Platform,Konami,Konami,3.0,1.23,0.6,0.47,0.16,2001-11-18,2001.0
Donkey Kong Country 2,GBA,Platform,Nintendo,Rare Ltd.,7.6,1.23,0.79,0.27,0.04,2004-11-15,2004.0
Star Wars Battlefront II,PSP,Shooter,LucasArts,Savage Entertainment,6.9,1.22,1.05,0.06,0.1,2005-11-01,2005.0
NBA Live 99,PS,Sports,EA Sports,NuFX,8.3,1.22,1.13,0.05,0.03,1998-10-31,1998.0
Intelligent Qube,PS,Puzzle,Sony Computer Entertainment,Sony Computer Entertainment,7.4,1.22,0.13,0.07,0.02,1997-09-30,1997.0
Max Payne,XB,Shooter,Rockstar Games,neo Software,8.6,1.22,0.98,0.19,0.05,2001-12-12,2001.0
Cars,PSP,Racing,THQ,Locomotive Games,7.4,1.21,0.72,0.28,0.2,2006-06-06,2006.0
FIFA 07 Soccer,PSP,Sports,EA Sports,EA Canada,8.0,1.21,0.25,0.64,0.32,2006-10-17,2006.0
Bayonetta,PS3,Action,Sega,PlatinumGames,8.6,1.21,0.44,0.4,0.16,2010-01-05,2010.0
FIFA Soccer 11,PSP,Sports,EA Sports,HB Studios,7.0,1.21,0.13,0.7,0.36,2010-09-28,2010.0
NFL 2K,DC,Sports,Sega,Visual Concepts,9.7,1.2,1.12,0.05,0.02,1999-09-09,1999.0
F1 2011,PS3,Racing,Codemasters,Codemasters Birmingham,8.4,1.2,0.12,0.75,0.23,2011-09-20,2011.0
ATV Offroad Fury 3,PS2,Racing,Sony Computer Entertainment,Climax Group,7.5,1.2,1.0,0.04,0.16,2004-11-02,2004.0
Metal Gear Solid V: Ground Zeroes,PS4,Action-Adventure,Konami Digital Entertainment,Kojima Productions,7.6,1.2,0.36,0.5,0.17,2014-03-18,2014.0
WWE 2K14,PS3,Fighting,2K Sports,Yuke's,7.6,1.2,0.49,0.51,0.2,2013-10-29,2013.0
Shadow of the Colossus,PS4,Action-Adventure,Sony Interactive Entertainment,Bluepoint Games,9.3,1.2,0.44,0.52,0.19,2018-02-06,2018.0
World Soccer Winning Eleven 9 (JP & Others sales),PSP,Sports,Konami,Konami Computer Entertainment Tokyo,8.0,1.2,0.01,0.88,0.0,2006-02-07,2006.0
Mario & Sonic at the London 2012 Olympic Games,3DS,Sports,Sega,Sega,6.5,1.19,0.18,0.66,0.08,2012-02-14,2012.0
WWE SmackDown vs Raw 2008,PSP,Fighting,THQ,Yuke's Media Creations,7.3,1.19,0.45,0.47,0.28,2007-11-13,2007.0
Spider-Man: The Movie,GC,Action,Activision,Treyarch,7.6,1.19,0.86,0.27,0.04,2002-04-15,2002.0
Metal Gear Solid: Portable Ops,PSP,Action,Konami,Kojima Productions,8.7,1.19,0.38,0.35,0.09,2006-12-05,2006.0
LEGO Star Wars III: The Clone Wars,PS3,Action,LucasArts,Traveller's Tales,8.0,1.18,0.52,0.47,0.19,2011-03-22,2011.0
WWE '12,PS3,Fighting,THQ,"Yuke's Co., Ltd.",9.0,1.18,0.53,0.45,0.17,2011-11-22,2011.0
Metal Gear Solid VR Missions,PS,Adventure,Konami,Konami Computer Entertainment Japan,6.8,1.18,0.66,0.45,0.08,1999-09-24,1999.0
Tony Hawk's Pro Skater 2,GBA,Sports,Activision,Vicarious Visions,8.9,1.18,0.85,0.31,0.02,2001-05-30,2001.0
Red Dead Redemption: Undead Nightmare,PS3,Action,Rockstar Games,Rockstar San Diego,10.0,1.18,0.47,0.45,0.19,2010-11-23,2010.0
LEGO Indiana Jones: The Original Adventures,PSP,Adventure,LucasArts,Traveller's Tales,7.6,1.18,0.4,0.49,0.3,2008-06-03,2008.0
WWE SmackDown vs. Raw 2010,PS3,Fighting,THQ,JAKKS Pacific,8.1,1.17,0.48,0.48,0.19,2009-10-20,2009.0
Ty the Tasmanian Tiger,PS2,Platform,Electronic Arts,Krome Studios,6.2,1.17,0.57,0.45,0.15,2002-09-10,2002.0
Mission: Impossible,N64,Action,Ocean,Infogrames,6.6,1.17,0.74,0.38,0.03,1998-07-18,1998.0
Army of Two,PS3,Shooter,Electronic Arts,EA Montreal,7.4,1.17,0.74,0.26,0.15,2008-03-07,2008.0
Medal of Honor Heroes 2,PSP,Shooter,Electronic Arts,Team Fusion,6.6,1.16,0.5,0.39,0.25,2007-11-13,2007.0
Sniper: Ghost Warrior,X360,Shooter,City Interactive,City Interactive,4.3,1.16,0.54,0.5,0.12,2010-06-29,2010.0
FIFA Soccer 10,PSP,Sports,EA Sports,EA Canada,7.9,1.16,0.16,0.68,0.31,2009-10-20,2009.0
Spore,PC,Strategy,Electronic Arts,Maxis,7.0,1.16,0.03,1.06,0.07,2008-09-07,2008.0
Bushido Blade,PS,Fighting,Sony Computer Entertainment,Light Weight,8.2,1.16,0.39,0.27,0.08,1997-09-30,1997.0
EA Sports Active: More Workouts,Wii,Sports,EA Sports,EA Vancouver,7.9,1.16,0.78,0.28,0.1,2009-11-17,2009.0
Mirror's Edge,X360,Platform,Electronic Arts,EA Digital Illusions CE,7.6,1.16,0.51,0.51,0.12,2008-11-11,2008.0
Sunset Overdrive,XOne,Action,Microsoft Studios,Insomniac Games,8.0,1.16,0.64,0.42,0.1,2014-10-28,2014.0
LEGO Star Wars: The Video Game,XB,Action,Eidos Interactive,Traveller's Tales,8.0,1.16,0.83,0.28,0.05,2005-04-05,2005.0
The Elder Scrolls V: Skyrim,NS,Role-Playing,Bethesda Softworks,Bethesda Softworks,8.6,1.15,0.67,0.32,0.1,2017-11-17,2017.0
Dragon Quest VIII: Journey of the Cursed King,3DS,Role-Playing,Nintendo,Level 5 / Armor Project,8.8,1.15,0.14,0.11,0.02,2017-01-20,2017.0
Call of Duty 4: Modern Warfare,PC,Shooter,Activision,Infinity Ward,9.3,1.15,0.0,1.12,0.03,2007-11-05,2007.0
Hot Shots Golf: Out of Bounds,PS3,Sports,Sony Computer Entertainment,Clap Hanz,8.3,1.14,0.31,0.03,0.04,2008-03-18,2008.0
The Lord of the Rings: The Return of the King,XB,Action,Electronic Arts,"Hypnos Entertainment, Inc.",8.8,1.14,0.71,0.38,0.05,2003-11-05,2003.0
South Park,N64,Shooter,Acclaim Entertainment,Iguana Entertainment,6.0,1.14,0.9,0.23,0.02,1998-12-12,1998.0
Brave Fencer Musashi,PS,Role-Playing,Square,SquareSoft,8.4,1.14,0.25,0.17,0.07,1998-10-31,1998.0
Shadow of the Colossus,PS2,Adventure,Sony Computer Entertainment,Team ICO,9.1,1.14,0.78,0.03,0.13,2005-10-18,2005.0
Action Bass,PS,Action,Take-Two Interactive,Unknown,5.1,1.14,0.64,0.43,0.07,2000-07-14,2000.0
LEGO Star Wars III: The Clone Wars,3DS,Action,LucasArts,Traveller's Tales,6.7,1.14,0.61,0.44,0.09,2011-03-27,2011.0
Mortal Kombat,X360,Fighting,Warner Bros. Interactive,NetherRealm Studios,8.3,1.14,0.85,0.19,0.1,2011-04-19,2011.0
LEGO Star Wars: The Video Game,GBA,Action,Eidos Interactive,Amaze Entertainment,7.4,1.14,0.82,0.3,0.02,2005-03-29,2005.0
007: Quantum of Solace,PS3,Shooter,Activision,Treyarch,6.6,1.14,0.43,0.51,0.19,2008-11-04,2008.0
NCAA Football 14,X360,Sports,EA Sports,EA Tiburon,7.6,1.13,1.01,0.0,0.12,2013-07-09,2013.0
Rocksmith,PS3,Misc,Ubisoft,Ubisoft,8.0,1.13,0.53,0.38,0.13,2011-10-18,2011.0
Rabbids Go Home,Wii,Adventure,Ubisoft,Ubisoft Montpellier,8.0,1.13,0.25,0.74,0.14,2009-11-03,2009.0
Fight Night Champion,PS3,Fighting,EA Sports,EA Canada,8.4,1.13,0.45,0.5,0.18,2011-03-01,2011.0
Guitar Hero 5,X360,Misc,Activision,Neversoft Entertainment,9.0,1.13,0.65,0.37,0.11,2009-09-01,2009.0
Rocksmith,X360,Misc,Ubisoft,Ubisoft,8.0,1.13,0.85,0.19,0.08,2011-10-18,2011.0
ModNation Racers,PS3,Racing,Sony Computer Entertainment,United Front Games,8.1,1.13,0.5,0.4,0.16,2010-05-25,2010.0
Plants vs Zombies: Garden Warfare,X360,Shooter,Electronic Arts,PopCap Games,8.0,1.13,0.54,0.5,0.09,2014-02-25,2014.0
Cars,GBA,Racing,THQ,Helixe,4.5,1.13,0.81,0.3,0.02,2006-06-06,2006.0
Mirror's Edge,PS3,Platform,Electronic Arts,EA Digital Illusions CE,7.7,1.13,0.31,0.59,0.21,2008-11-11,2008.0
Spider-Man 2,XB,Action,Activision,Treyarch,7.7,1.12,0.82,0.26,0.04,2004-06-28,2004.0
Crackdown 2,X360,Shooter,Microsoft Game Studios,Ruffian Games,7.5,1.12,0.63,0.36,0.1,2010-07-06,2010.0
WWE 2K14,X360,Fighting,2K Sports,Yuke's,7.6,1.12,0.64,0.38,0.1,2013-10-29,2013.0
Need for Speed: Most Wanted (2012),PSV,Racing,Electronic Arts,Criterion Games,7.4,1.12,0.33,0.53,0.25,2012-10-30,2012.0
Dragon Age II,X360,Role-Playing,Electronic Arts,BioWare Corp.,8.0,1.12,0.72,0.29,0.09,2011-03-08,2011.0
The Beatles: Rock Band,PS3,Misc,MTV Games,Harmonix Music Systems,8.7,1.12,0.67,0.29,0.15,2009-09-09,2009.0
SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,Shooter,Sony Computer Entertainment,Zipper Interactive,7.9,1.12,1.03,0.0,0.08,2005-11-08,2005.0
Mafia III,XOne,Action-Adventure,2K Games,Hangar 13,6.8,1.11,0.54,0.48,0.09,2016-10-07,2016.0
NCAA Football 13,X360,Sports,EA Sports,EA Tiburon,7.5,1.11,1.02,0.0,0.09,2012-07-10,2012.0
Crash Bandicoot N. Sane Trilogy,NS,Platform,Activision,Toys for Bob,6.0,1.11,0.44,0.57,0.09,2018-06-29,2018.0
Castlevania: Lords of Shadow,PS3,Action,Konami,Mercury Steam,8.1,1.11,0.5,0.37,0.15,2010-10-05,2010.0
Tom Clancy's Splinter Cell: Chaos Theory,XB,Action,Ubisoft,Ubisoft Montreal,9.4,1.11,0.68,0.38,0.05,2005-03-28,2005.0
Red Dead Redemption: Undead Nightmare,X360,Action,Rockstar Games,Rockstar San Diego,10.0,1.11,0.61,0.38,0.1,2010-11-23,2010.0
Plants vs. Zombies,DS,Strategy,PopCap Games,PopCap Games,8.1,1.11,0.9,0.13,0.09,2011-01-18,2011.0
Rock Band,PS2,Misc,MTV Games,Harmonix Music Systems,8.1,1.11,0.71,0.06,0.35,2007-12-18,2007.0
FIFA 18,NS,Sports,EA Sports,EA Vancouver,5.8,1.1,0.35,0.55,0.07,2017-09-29,2017.0
LEGO Star Wars III: The Clone Wars,DS,Action,LucasArts,Traveller's Tales,6.3,1.1,0.62,0.38,0.1,2011-03-22,2011.0
